STN_NAME,STN_NO,geometry,Latitude,Longitude
BUKIT BATOK MRT STATION,NS2,POINT (103.7495667638523 1.349034108576673),1.349034109,103.7495668
BOON LAY MRT STATION,EW27,POINT (103.706064622596 1.338604054503274),1.338604055,103.7060646
BUKIT GOMBAK MRT STATION,NS3,POINT (103.751893502082 1.358761857261445),1.358761857,103.7518935
MARSILING MRT STATION,NS8,POINT (103.7740714612621 1.432514420635642),1.432514421,103.7740715
BEDOK MRT STATION,EW5,POINT (103.9299844946206 1.323979968887747),1.323979969,103.9299845
JOO KOON MRT STATION,EW29,POINT (103.6783751428505 1.32771717309168),1.327717173,103.6783751
LAKESIDE MRT STATION,EW26,POINT (103.7209492684787 1.344259249394697),1.344259249,103.7209493
TANAH MERAH MRT STATION,EW4,POINT (103.9463464606227 1.327187134538356),1.327187135,103.9463465
YIO CHU KANG MRT STATION,NS15,POINT (103.8449472897542 1.381756046113004),1.381756046,103.8449473
OASIS LRT STATION,PE6,POINT (103.9127273556308 1.402286677493708),1.402286677,103.9127274
SAM KEE LRT STATION,PW1,POINT (103.9048315505186 1.409612685086607),1.409612685,103.9048316
FARMWAY LRT STATION,SW2,POINT (103.8893048104357 1.397170196458043),1.397170196,103.8893048
KUPANG LRT STATION,SW3,POINT (103.8812562219742 1.398212828397176),1.398212828,103.8812562
RENJONG LRT STATION,SW8,POINT (103.8905394271551 1.386723921528),1.386723922,103.8905394
BUKIT PANJANG LRT STATION,BP6,POINT (103.7630136337854 1.377909897982203),1.377909898,103.7630136
FAJAR LRT STATION,BP10,POINT (103.7708085825086 1.384520796175224),1.384520796,103.7708086
PUNGGOL LRT STATION,PTC,POINT (103.9024119119847 1.405194701302433),1.405194701,103.9024119
SAMUDERA LRT STATION,PW4,POINT (103.9021563163908 1.415901719438768),1.415901719,103.9021563
NIBONG LRT STATION,PW5,POINT (103.9003138176732 1.411870458453227),1.411870458,103.9003138
SOO TECK LRT STATION,PW7,POINT (103.8972096503174 1.405088584853964),1.405088585,103.8972097
KADALOOR LRT STATION,PE5,POINT (103.9164866619733 1.399584852761109),1.399584853,103.9164867
CORAL EDGE LRT STATION,PE3,POINT (103.9125808548093 1.393909226117486),1.393909226,103.9125809
THANGGAM LRT STATION,SW4,POINT (103.8756351564557 1.397318154995222),1.397318155,103.8756352
KEAT HONG LRT STATION,BP3,POINT (103.7490555193993 1.378602765983026),1.378602766,103.7490555
DAMAI LRT STATION,PE7,POINT (103.9086035436443 1.405234836171991),1.405234836,103.9086035
COVE LRT STATION,PE1,POINT (103.9059619440764 1.399281985019933),1.399281985,103.9059619
RIVIERA LRT STATION,PE4,POINT (103.9161660589877 1.394524495769012),1.394524496,103.9161661
SENJA LRT STATION,BP13,POINT (103.7623672259505 1.382692295824161),1.382692296,103.7623672
JELAPANG LRT STATION,BP12,POINT (103.7645033381588 1.386703025013921),1.386703025,103.7645033
PETIR LRT STATION,BP7,POINT (103.766668960223 1.377750333817221),1.377750334,103.766669
TECK WHYE LRT STATION,BP4,POINT (103.7537122321994 1.376684679443907),1.376684679,103.7537122
CHOA CHU KANG LRT STATION,BP1,POINT (103.7445537312411 1.384836359965826),1.38483636,103.7445537
SOUTH VIEW LRT STATION,BP2,POINT (103.7452918000423 1.380298287217282),1.380298287,103.7452918
LAYAR LRT STATION,SW6,POINT (103.8800296003496 1.392079838772599),1.392079839,103.8800296
KANGKAR LRT STATION,SE4,POINT (103.9021739887658 1.383978901833539),1.383978902,103.902174
MERIDIAN LRT STATION,PE2,POINT (103.9089502169662 1.396912053063274),1.396912053,103.9089502
CHENG LIM LRT STATION,SW1,POINT (103.8937971808361 1.396277631335809),1.396277631,103.8937972
PUNGGOL POINT LRT STATION,PW3,POINT (103.9066507904662 1.416848520495767),1.41684852,103.9066508
SUMANG LRT STATION,PW6,POINT (103.8985584540499 1.408452425647696),1.408452426,103.8985585
FERNVALE LRT STATION,SW5,POINT (103.8763086113684 1.391885887744102),1.391885888,103.8763086
TONGKANG LRT STATION,SW7,POINT (103.8858441499077 1.389347952959695),1.389347953,103.8858441
PENDING LRT STATION,BP8,POINT (103.7712701786122 1.376142882785048),1.376142883,103.7712702
TECK LEE LRT STATION,PW2,POINT (103.9065776227019 1.412770893863547),1.412770894,103.9065776
BANGKIT LRT STATION,BP9,POINT (103.7726490725712 1.380017897242092),1.380017897,103.7726491
BAKAU LRT STATION,SE3,POINT (103.9054391042401 1.388092703775109),1.388092704,103.9054391
RUMBIA LRT STATION,SE2,POINT (103.9059735953109 1.391468496838555),1.391468497,103.9059736
COMPASSVALE LRT STATION,SE1,POINT (103.9004924506276 1.394493046198064),1.394493046,103.9004925
RANGGUNG LRT STATION,SE5,POINT (103.8975371619695 1.383885441915918),1.383885442,103.8975372
PHOENIX LRT STATION,BP5,POINT (103.7580340983865 1.378618844452901),1.378618844,103.7580341
SEGAR LRT STATION,BP11,POINT (103.7695983967803 1.387772130860874),1.387772131,103.7695984
SENGKANG LRT STATION,STC,POINT (103.8954425836644 1.391609363816265),1.391609364,103.8954426
BRAS BASAH MRT STATION,CC2,POINT (103.8506673717781 1.296861686527613),1.296861687,103.8506674
MACPHERSON MRT STATION,CC10/DT26,POINT (103.8902870313661 1.326345371661258),1.326345372,103.890287
CITY HALL MRT STATION,EW13/NS25,POINT (103.8525858923442 1.292936242846093),1.292936243,103.8525859
TAMPINES EAST MRT STATION,DT33,POINT (103.9546344629294 1.356191483037002),1.356191483,103.9546345
TAMPINES WEST MRT STATION,DT31,POINT (103.9384369713533 1.34551530530169),1.345515305,103.938437
GEYLANG BAHRU MRT STATION,DT24,POINT (103.8719006257064 1.321505838017605),1.321505838,103.8719006
BENDEMEER MRT STATION,DT23,POINT (103.8629779874744 1.313672232544496),1.313672233,103.862978
BENCOOLEN MRT STATION,DT21,POINT (103.8503842549164 1.298864270417359),1.29886427,103.8503843
HARBOURFRONT MRT STATION,NE1/CC29,POINT (103.821443069088 1.265472639862096),1.26547264,103.8214431
KENT RIDGE MRT STATION,CC24,POINT (103.7844274606265 1.293496061744805),1.293496062,103.7844275
PUNGGOL MRT STATION,NE17,POINT (103.9020726384069 1.404546727787948),1.404546728,103.9020726
TANJONG PAGAR MRT STATION,EW15,POINT (103.8458642293472 1.27652124669304),1.276521247,103.8458642
ONE-NORTH MRT STATION,CC23,POINT (103.787457507831 1.299759878591986),1.299759879,103.7874575
STADIUM MRT STATION,CC6,POINT (103.8753503351786 1.302840629633224),1.30284063,103.8753503
BUGIS MRT STATION,EW12/DT14,POINT (103.8557064140166 1.30046507631525),1.300465076,103.8557064
SOMERSET MRT STATION,NS23,POINT (103.8390751623438 1.300260055065438),1.300260055,103.8390752
ORCHARD MRT STATION,NS22/TE14,POINT (103.8322414520675 1.303981012436877),1.303981012,103.8322415
JALAN BESAR MRT STATION,DT22,POINT (103.8554770163392 1.305403642223252),1.305403642,103.855477
BAYFRONT MRT STATION,DT16/CE1,POINT (103.8590797651323 1.281873788491538),1.281873788,103.8590798
SENGKANG MRT STATION,NE16,POINT (103.8954846941603 1.391694626098988),1.391694626,103.8954847
BUKIT BROWN MRT STATION,CC18,POINT (103.8306895501365 1.333728882321442),1.333728882,103.8306896
MOUNTBATTEN MRT STATION,CC7,POINT (103.8825280808098 1.306201904831237),1.306201905,103.8825281
KOVAN MRT STATION,NE13,POINT (103.8850648563362 1.360179171179151),1.360179171,103.8850649
FORT CANNING MRT STATION,DT20,POINT (103.8443282696094 1.292478927917482),1.292478928,103.8443283
FARRER ROAD MRT STATION,CC20,POINT (103.8075861057463 1.317510611895766),1.317510612,103.8075861
DOWNTOWN MRT STATION,DT17,POINT (103.8528404440394 1.279446190378722),1.27944619,103.8528404
ESPLANADE MRT STATION,CC3,POINT (103.8555041055266 1.293321607611238),1.293321608,103.8555041
NICOLL HIGHWAY MRT STATION,CC5,POINT (103.863637018496 1.299766835267978),1.299766835,103.863637
CALDECOTT MRT STATION,CC17/TE9,POINT (103.8395298207638 1.337674508044339),1.337674508,103.8395298
MARINA BAY MRT STATION,NS27/TE20/CE2,POINT (103.8545977775432 1.276427354750602),1.276427355,103.8545978
LABRADOR PARK MRT STATION,CC27,POINT (103.8029396204196 1.272332731596474),1.272332732,103.8029396
CHINATOWN MRT STATION,NE4/DT19,POINT (103.8434267759437 1.284359578232979),1.284359578,103.8434268
TAN KAH KEE MRT STATION,DT8,POINT (103.8073222076121 1.325883208922445),1.325883209,103.8073222
TIONG BAHRU MRT STATION,EW17,POINT (103.8270194309238 1.28619339285898),1.286193393,103.8270194
HILLVIEW MRT STATION,DT3,POINT (103.7674182544565 1.362344868527861),1.362344869,103.7674183
KING ALBERT PARK MRT STATION,DT6,POINT (103.7838066588735 1.335665120759766),1.335665121,103.7838067
MATTAR MRT STATION,DT25,POINT (103.88324750918 1.326876714712614),1.326876715,103.8832475
UBI MRT STATION,DT27,POINT (103.8992525249772 1.329956825703842),1.329956826,103.8992525
BEAUTY WORLD MRT STATION,DT5,POINT (103.7757942852948 1.34122317571135),1.341223176,103.7757943
KAKI BUKIT MRT STATION,DT28,POINT (103.9084597344644 1.334967301564287),1.334967302,103.9084597
BEDOK NORTH MRT STATION,DT29,POINT (103.9179783297734 1.334742116758399),1.334742117,103.9179783
DHOBY GHAUT MRT STATION,NS24/NE6/CC1,POINT (103.8461151546762 1.298701306629531),1.298701307,103.8461152
WOODLEIGH MRT STATION,NE11,POINT (103.870818309375 1.339190045525152),1.339190046,103.8708183
NOVENA MRT STATION,NS20,POINT (103.8438256188153 1.320440790847899),1.320440791,103.8438256
SERANGOON MRT STATION,NE12/CC13,POINT (103.8735748468583 1.349707875379261),1.349707875,103.8735748
BEDOK RESERVOIR MRT STATION,DT30,POINT (103.9322346236246 1.336607829810492),1.33660783,103.9322346
MARINA SOUTH PIER MRT STATION,NS28,POINT (103.8628597696374 1.27133671132917),1.271336711,103.8628598
FARRER PARK MRT STATION,NE8,POINT (103.8541771415314 1.312359840212136),1.31235984,103.8541771
BARTLEY MRT STATION,CC12,POINT (103.8797589062279 1.342828337737579),1.342828338,103.8797589
DAKOTA MRT STATION,CC8,POINT (103.8886626039317 1.308382639266997),1.308382639,103.8886626
PASIR PANJANG MRT STATION,CC26,POINT (103.7913503131544 1.276213522685335),1.276213523,103.7913503
CLARKE QUAY MRT STATION,NE5,POINT (103.8465552092951 1.288386024201141),1.288386024,103.8465552
BISHAN MRT STATION,NS17/CC15,POINT (103.8481439644746 1.350838987693842),1.350838988,103.848144
MARYMOUNT MRT STATION,CC16,POINT (103.8394231325696 1.348707263018225),1.348707263,103.8394231
HAW PAR VILLA MRT STATION,CC25,POINT (103.7818104513204 1.282542156642901),1.282542157,103.7818105
LORONG CHUAN MRT STATION,CC14,POINT (103.8641519380472 1.35161217102563),1.351612171,103.8641519
LAVENDER MRT STATION,EW11,POINT (103.8628292081066 1.307357020095563),1.30735702,103.8628292
TAI SENG MRT STATION,CC11,POINT (103.888194861153 1.335433322222914),1.335433322,103.8881949
ROCHOR MRT STATION,DT13,POINT (103.8524216807045 1.303916483964587),1.303916484,103.8524217
LITTLE INDIA MRT STATION,NE7/DT12,POINT (103.8496469665724 1.306800025312334),1.306800025,103.849647
STEVENS MRT STATION,DT10/TE11,POINT (103.8260244022438 1.32006555700673),1.320065557,103.8260244
BUKIT PANJANG MRT STATION,DT1,POINT (103.7615351147329 1.379002116717668),1.379002117,103.7615351
CASHEW MRT STATION,DT2,POINT (103.7646944223108 1.369369831064344),1.369369831,103.7646944
SIXTH AVENUE MRT STATION,DT7,POINT (103.7972463166611 1.330786387363983),1.330786387,103.7972463
TOA PAYOH MRT STATION,NS19,POINT (103.8475017643402 1.332628987123201),1.332628987,103.8475018
WOODLANDS SOUTH MRT STATION,TE3,POINT (103.7938508924378 1.427259978711247),1.427259979,103.7938509
POTONG PASIR MRT STATION,NE10,POINT (103.8690556652723 1.331379524619294),1.331379525,103.8690557
HOUGANG MRT STATION,NE14,POINT (103.8923805189117 1.371292291678538),1.371292292,103.8923805
BOON KENG MRT STATION,NE9,POINT (103.8616865018698 1.319395706023052),1.319395706,103.8616865
UPPER CHANGI MRT STATION,DT34,POINT (103.9614717886784 1.341737483893197),1.341737484,103.9614718
CHANGI AIRPORT MRT STATION,CG2,POINT (103.9883646585053 1.357314545330978),1.357314545,103.9883647
BRADDELL MRT STATION,NS18,POINT (103.8467978454123 1.340471684451099),1.340471684,103.8467978
BUANGKOK MRT STATION,NE15,POINT (103.8931215647853 1.382877858147225),1.382877858,103.8931216
PROMENADE MRT STATION,CC4/DT15,POINT (103.860999155887 1.293218051489327),1.293218051,103.8609992
BOTANIC GARDENS MRT STATION,CC19/DT9,POINT (103.814982750344 1.322110192984765),1.322110193,103.8149828
RAFFLES PLACE MRT STATION,EW14/NS26,POINT (103.8514617120911 1.284125610573205),1.284125611,103.8514617
HOLLAND VILLAGE MRT STATION,CC21,POINT (103.7961918238615 1.311834790402133),1.31183479,103.7961918
OUTRAM PARK MRT STATION,EW16,POINT (103.8391264975836 1.281404978130137),1.281404978,103.8391265
TELOK BLANGAH MRT STATION,CC28,POINT (103.8097486368357 1.270753211458579),1.270753211,103.8097486
TELOK AYER MRT STATION,DT18,POINT (103.8483028061927 1.282289536192254),1.282289536,103.8483028
NEWTON MRT STATION,NS21/DT11,POINT (103.8379852996327 1.312320099555639),1.3123201,103.8379853
CANBERRA MRT STATION,NS12,POINT (103.8297118002602 1.443136699719395),1.4431367,103.8297118
WOODLANDS NORTH MRT STATION,TE1,POINT (103.7856927000088 1.448292499870659),1.4482925,103.7856927
HUME MRT STATION,DT4,POINT (103.769099241508 1.354517607525489),1.354517608,103.7690992
SPRINGLEAF MRT STATION,TE4,POINT (103.8180818498627 1.398160861025955),1.398160861,103.8180818
LENTOR MRT STATION,TE5,POINT (103.8364694869142 1.385061946926286),1.385061947,103.8364695
MAYFLOWER MRT STATION,TE6,POINT (103.8368239320149 1.372086638674201),1.372086639,103.8368239
BRIGHT HILL MRT STATION,TE7,POINT (103.8329359578363 1.363308098095808),1.363308098,103.832936
UPPER THOMSON MRT STATION,TE8,POINT (103.8329381688606 1.354411853127734),1.354411853,103.8329382
